instrument_name,option_type,spot_price,strike,days_to_expiry,market_price_usd,model_price_usd,price_diff_usd,price_diff_pct,implied_volatility,historical_volatility,volatility_spread,cheapness_score,volatility_edge,combined_score,bid_ask_spread_pct,delta,gamma,theta,vega,open_interest,classification
ETH-22MAY26-2600-C,call,2317.8,2600.0,12.95317331835648,12.747900000000001,27.205866251979785,-14.457966251979784,-0.5314282632308269,0.5083,0.6375365835831345,-0.1292365835831345,0.5314282632308269,0.1292365835831345,0.6606648468139614,0.1818181818181818,0.12465,0.00093,-1.76003,0.89709,3991.0,cheap
ETH-22MAY26-2500-C,call,2317.8,2500.0,12.953179289687501,25.495800000000003,47.2529511028614,-21.7571511028614,-0.46044004861198806,0.4907,0.6375365835831345,-0.14683658358313445,0.46044004861198806,0.14683658358313445,0.6072766321951225,0.09090909090909083,0.21997,0.00138,-2.44883,1.29276,8223.0,cheap
ETH-22MAY26-2150-P,put,2317.82,2150.0,12.953219212638889,24.337110000000003,42.44668669659211,-18.109576696592107,-0.4266428808928933,0.4929,0.6375365835831345,-0.14463658358313447,0.4266428808928933,0.14463658358313447,0.5712794644760277,0.09523809523809527,-0.19604,0.00129,-2.29785,1.20776,1616.0,cheap
ETH-22MAY26-2450-C,call,2317.8,2450.0,12.953185451828704,35.9259,61.049878853359814,-25.123978853359816,-0.41153200178671845,0.4829,0.6375365835831345,-0.15463658358313448,0.41153200178671845,0.15463658358313448,0.5661685853698529,0.06451612903225802,0.28631,0.00161,-2.76946,1.48563,1619.0,cheap
ETH-22MAY26-2100-P,put,2317.78,2100.0,12.953225312048612,16.803905,29.965151303665323,-13.161246303665322,-0.439218416429469,0.5109,0.6375365835831345,-0.12663658358313445,0.439218416429469,0.12663658358313445,0.5658550000126035,0.06896551724137928,-0.14156,0.00101,-1.93097,0.97918,1352.0,cheap
ETH-29MAY26-2550-C,call,2318.89,2550.0,19.953106371886573,33.62390499999999,58.76156091019607,-25.137655910196074,-0.427790812919578,0.5029,0.6375365835831345,-0.13463658358313446,0.427790812919578,0.13463658358313446,0.5624273965027125,0.06896551724137942,0.22686,0.00111,-2.05857,1.63364,8198.0,cheap
ETH-22MAY26-2200-P,put,2317.8,2200.0,12.953213172766205,35.9259,58.19763706846004,-22.27173706846004,-0.38269143199509925,0.4826,0.6375365835831345,-0.1549365835831345,0.38269143199509925,0.1549365835831345,0.5376280155782338,0.06451612903225802,-0.26788,0.00156,-2.67858,1.43803,1866.0,cheap
ETH-29MAY26-2500-C,call,2318.89,2500.0,19.953112484560187,44.05891,71.94115063919662,-27.882240639196624,-0.3875701235171124,0.4996,0.6375365835831345,-0.1379365835831345,0.3875701235171124,0.1379365835831345,0.5255067071002468,0.052631578947368494,0.27916,0.00124,-2.2817,1.82245,25355.0,cheap
ETH-22MAY26-2400-C,call,2317.8,2400.0,12.953191925833334,50.41215,77.81484761969864,-27.402697619698642,-0.35215255774351367,0.47979999999999995,0.6375365835831345,-0.15773658358313453,0.35215255774351367,0.15773658358313453,0.5098891413266482,0.02298850574712635,0.36677,0.0018,-3.04416,1.64387,1483.0,cheap
ETH-29MAY26-2450-C,call,2318.89,2450.0,19.953118554074074,56.812805,87.39679156042519,-30.58398656042519,-0.3499440427315888,0.49689999999999995,0.6375365835831345,-0.14063658358313452,0.3499440427315888,0.14063658358313452,0.4905806263147233,0.040816326530612304,0.33894,0.00136,-2.47043,1.98422,7876.0,cheap
ETH-22MAY26-2250-P,put,2317.8,2250.0,12.95320705431713,52.1505,77.4323467784028,-25.2818467784028,-0.3265023963532297,0.4757,0.6375365835831345,-0.16183658358313446,0.3265023963532297,0.16183658358313446,0.48833897993636416,0.04444444444444455,-0.35343,0.00179,-2.98034,1.62301,625.0,cheap
ETH-29MAY26-2100-P,put,2318.86,2100.0,19.95315768605324,31.304610000000004,48.502061892668166,-17.197451892668163,-0.35457156297241504,0.521,0.6375365835831345,-0.11653658358313446,0.35457156297241504,0.11653658358313446,0.4711081465555495,0.07407407407407421,-0.19087,0.00096,-1.92638,1.47541,6763.0,cheap
ETH-29MAY26-2150-P,put,2318.86,2150.0,19.953151611041665,42.319195,63.45125983063281,-21.132064830632807,-0.3330440543976517,0.508,0.6375365835831345,-0.12953658358313447,0.3330440543976517,0.12953658358313447,0.4625806379807862,0.02739726027397261,-0.24322,0.00114,-2.16092,1.69769,7380.0,cheap
ETH-22MAY26-2350-C,call,2317.8,2350.0,12.953198313530091,68.3751,97.8367443294386,-29.4616443294386,-0.30113066957987206,0.47609999999999997,0.6375365835831345,-0.1614365835831345,0.30113066957987206,0.1614365835831345,0.46256725316300656,0.03389830508474563,0.45661,0.00191,-3.18226,1.73162,2634.0,cheap
