instrument_name,option_type,spot_price,strike,days_to_expiry,market_price_usd,model_price_usd,price_diff_usd,price_diff_pct,implied_volatility,historical_volatility,volatility_spread,cheapness_score,volatility_edge,combined_score,bid_ask_spread_pct,delta,gamma,theta,vega,open_interest,classification,invest_decision,invest_allowed,rejection_reason,liquidity_allowed,liquidity_reason,liquidity_score,regime_bullish,regime_bearish,regime_volatility_expanding,regime_hostile
ETH-22MAY26-2600-C,call,2317.8,2600.0,12.95317331835648,12.7479,27.205866251979785,-14.457966251979784,-0.5314282632308269,0.5083,0.6375365835831345,-0.1292365835831345,0.5314282632308269,0.1292365835831345,0.6606648468139614,0.1818181818181818,0.12465,0.00093,-1.76003,0.89709,3991.0,cheap,do_not_invest,False,delta_too_low,True,ok,0.8181818181818182,True,False,False,True
ETH-22MAY26-2500-C,call,2317.8,2500.0,12.9531792896875,25.495800000000003,47.2529511028614,-21.7571511028614,-0.460440048611988,0.4907,0.6375365835831345,-0.1468365835831344,0.460440048611988,0.1468365835831344,0.6072766321951225,0.0909090909090908,0.21997,0.00138,-2.44883,1.29276,8223.0,cheap,do_not_invest,False,delta_too_low,True,ok,0.9090909090909092,True,False,False,True
ETH-22MAY26-2150-P,put,2317.82,2150.0,12.953219212638889,24.337110000000003,42.44668669659211,-18.109576696592107,-0.4266428808928933,0.4929,0.6375365835831345,-0.1446365835831344,0.4266428808928933,0.1446365835831344,0.5712794644760277,0.0952380952380952,-0.19604,0.00129,-2.29785,1.20776,1616.0,cheap,do_not_invest,False,put_rejected_not_bearish_regime,False,,0.0,True,False,False,True
ETH-22MAY26-2100-P,put,2317.78,2100.0,12.953225312048612,16.803905,29.965151303665323,-13.161246303665322,-0.439218416429469,0.5109,0.6375365835831345,-0.1266365835831344,0.439218416429469,0.1266365835831344,0.5658550000126035,0.0689655172413792,-0.14156,0.00101,-1.93097,0.97918,1352.0,cheap,do_not_invest,False,put_rejected_not_bearish_regime,False,,0.0,True,False,False,True
ETH-29MAY26-2550-C,call,2318.89,2550.0,19.953106371886573,33.62390499999999,58.76156091019607,-25.137655910196074,-0.427790812919578,0.5029,0.6375365835831345,-0.1346365835831344,0.427790812919578,0.1346365835831344,0.5624273965027125,0.0689655172413794,0.22686,0.00111,-2.05857,1.63364,8198.0,cheap,do_not_invest,False,delta_too_low,True,ok,0.9310344827586206,True,False,False,True
ETH-22MAY26-2200-P,put,2317.8,2200.0,12.953213172766205,35.9259,58.19763706846004,-22.27173706846004,-0.3826914319950992,0.4826,0.6375365835831345,-0.1549365835831345,0.3826914319950992,0.1549365835831345,0.5376280155782338,0.064516129032258,-0.26788,0.00156,-2.67858,1.43803,1866.0,cheap,do_not_invest,False,put_rejected_not_bearish_regime,False,,0.0,True,False,False,True
ETH-22MAY26-2250-P,put,2317.8,2250.0,12.95320705431713,52.1505,77.4323467784028,-25.2818467784028,-0.3265023963532297,0.4757,0.6375365835831345,-0.1618365835831344,0.3265023963532297,0.1618365835831344,0.4883389799363641,0.0444444444444445,-0.35343,0.00179,-2.98034,1.62301,625.0,cheap,do_not_invest,False,put_rejected_not_bearish_regime,False,,0.0,True,False,False,True
ETH-29MAY26-2100-P,put,2318.86,2100.0,19.95315768605324,31.304610000000004,48.502061892668166,-17.197451892668163,-0.354571562972415,0.521,0.6375365835831345,-0.1165365835831344,0.354571562972415,0.1165365835831344,0.4711081465555495,0.0740740740740742,-0.19087,0.00096,-1.92638,1.47541,6763.0,cheap,do_not_invest,False,put_rejected_not_bearish_regime,False,,0.0,True,False,False,True
ETH-29MAY26-2150-P,put,2318.86,2150.0,19.953151611041665,42.319195,63.45125983063281,-21.132064830632807,-0.3330440543976517,0.508,0.6375365835831345,-0.1295365835831344,0.3330440543976517,0.1295365835831344,0.4625806379807862,0.0273972602739726,-0.24322,0.00114,-2.16092,1.69769,7380.0,cheap,do_not_invest,False,put_rejected_not_bearish_regime,False,,0.0,True,False,False,True
ETH-29MAY26-2050-P,put,2318.88,2050.0,19.95316382447917,23.1888,36.19157438123699,-13.00277438123699,-0.3592762847028311,0.535,0.6375365835831345,-0.1025365835831344,0.3592762847028311,0.1025365835831344,0.4618128682859655,0.1000000000000001,-0.14737,0.00079,-1.67478,1.24925,4461.0,cheap,do_not_invest,False,put_rejected_not_bearish_regime,False,,0.0,True,False,False,True
ETH-29MAY26-2200-P,put,2318.86,2200.0,19.95314561199074,56.812070000000006,81.20458484930896,-24.392514849308952,-0.300383468428218,0.5033,0.6375365835831345,-0.1342365835831345,0.300383468428218,0.1342365835831345,0.4346200520113525,0.0408163265306122,-0.30642,0.00129,-2.39988,1.90303,12085.0,cheap,do_not_invest,False,put_rejected_not_bearish_regime,False,,0.0,True,False,False,True
ETH-22MAY26-2300-P,put,2317.8,2300.0,12.953201032152778,73.59015,100.27007767594957,-26.679927675949557,-0.2660806523175649,0.4728,0.6375365835831345,-0.1647365835831344,0.2660806523175649,0.1647365835831344,0.4308172359006993,0.015748031496063,-0.44785,0.00192,-3.15163,1.72703,1010.0,cheap,do_not_invest,False,put_rejected_not_bearish_regime,False,,0.0,True,False,False,True
ETH-29MAY26-2250-P,put,2318.86,2250.0,19.95313950224537,75.36295000000001,101.85934489884016,-26.49639489884015,-0.2601272855735974,0.4979,0.6375365835831345,-0.1396365835831344,0.2601272855735974,0.1396365835831344,0.3997638691567319,0.0307692307692307,-0.37557,0.00141,-2.56652,2.05687,16574.0,cheap,do_not_invest,False,put_rejected_not_bearish_regime,False,,0.0,True,False,False,True
ETH-22MAY26-2350-P,put,2317.8,2350.0,12.953194657835647,100.24485,126.7032036127,-26.458353612699995,-0.2088215045736062,0.4760999999999999,0.6375365835831345,-0.1614365835831345,0.2088215045736062,0.1614365835831345,0.3702580881567407,0.0346820809248552,-0.54339,0.00191,-3.18226,1.73162,669.0,cheap,do_not_invest,False,put_rejected_not_bearish_regime,False,,0.0,True,False,False,True
ETH-29MAY26-2300-P,put,2318.86,2300.0,19.953133367175926,97.971835,125.44600424410032,-27.474169244100324,-0.219011912014666,0.496,0.6375365835831345,-0.1415365835831344,0.219011912014666,0.1415365835831344,0.3605484955978005,0.0118343195266272,-0.44891,0.00147,-2.66622,2.1452,18176.0,cheap,do_not_invest,False,put_rejected_not_bearish_regime,False,,0.0,True,False,False,True
ETH-29MAY26-2350-P,put,2318.86,2350.0,19.95312739173611,123.479295,151.9304711572554,-28.45117615725539,-0.1872644502484761,0.4953,0.6375365835831345,-0.1422365835831344,0.1872644502484761,0.1422365835831344,0.3295010338316105,0.028169014084507,-0.52284,0.00148,-2.68018,2.15941,14074.0,cheap,do_not_invest,False,put_rejected_not_bearish_regime,False,,0.0,True,False,False,True
ETH-22MAY26-2400-P,put,2317.8,2400.0,12.953188173912036,132.69405,156.6103825482162,-23.91633254821619,-0.1527123052703928,0.4797999999999999,0.6375365835831345,-0.1577365835831345,0.1527123052703928,0.1577365835831345,0.3104488888535273,0.0960698689956331,-0.63323,0.0018,-3.04416,1.64387,398.0,cheap,do_not_invest,False,put_rejected_not_bearish_regime,False,,0.0,True,False,False,True
ETH-22MAY26-2200-C,call,2317.82,2200.0,12.953216487708334,154.13503,179.13227397405217,-24.997243974052168,-0.1395462884464532,0.4826,0.6375365835831345,-0.1549365835831345,0.1395462884464532,0.1549365835831345,0.2944828720295877,0.1654135338345863,0.73215,0.00156,-2.67846,1.43796,98.0,cheap,do_not_invest,False,delta_too_high,True,ok,0.8345864661654137,True,False,False,True
ETH-29MAY26-2400-P,put,2318.88,2400.0,19.953121306134257,153.62580000000003,181.20915629045749,-27.58335629045746,-0.1522183362867409,0.4954,0.6375365835831345,-0.1421365835831344,0.1522183362867409,0.1421365835831344,0.2943549198698754,0.0226415094339624,-0.59442,0.00144,-2.60958,2.10211,6572.0,cheap,do_not_invest,False,put_rejected_not_bearish_regime,False,,0.0,True,False,False,True
ETH-29MAY26-2200-C,call,2318.86,2200.0,19.953148942546296,176.81307500000003,204.86996145507575,-28.056886455075755,-0.1369497326782487,0.5033,0.6375365835831345,-0.1342365835831345,0.1369497326782487,0.1342365835831345,0.2711863162613832,0.0327868852459017,0.69358,0.00129,-2.39986,1.90303,11722.0,cheap,do_not_invest,False,delta_too_high,True,ok,0.9672131147540983,True,False,False,True
ETH-22MAY26-2450-P,put,2317.8,2450.0,12.953182012407408,168.0405,189.77449153435396,-21.733991534353947,-0.1145253577476694,0.4829,0.6375365835831345,-0.1546365835831344,0.1145253577476694,0.1546365835831344,0.2691619413308039,0.1793103448275863,-0.71369,0.00161,-2.76946,1.48563,85.0,cheap,do_not_invest,False,put_rejected_not_bearish_regime,False,,0.0,True,False,False,True
ETH-29MAY26-2450-P,put,2318.89,2450.0,19.95311523550926,190.14898,213.15535841682825,-23.006378416828227,-0.1079324422698252,0.4968999999999999,0.6375365835831345,-0.1406365835831345,0.1079324422698252,0.1406365835831345,0.2485690258529598,0.0609756097560975,-0.66106,0.00136,-2.47043,1.98422,2115.0,cheap,do_not_invest,False,put_rejected_not_bearish_regime,False,,0.0,True,False,False,True
ETH-29MAY26-2150-C,call,2318.86,2150.0,19.95315494650463,211.595975,237.00742423591828,-25.41144923591827,-0.1072179460953239,0.508,0.6375365835831345,-0.1295365835831344,0.1072179460953239,0.1295365835831344,0.2367545296784584,0.0602739726027398,0.75679,0.00114,-2.16089,1.69769,13133.0,cheap,do_not_invest,False,price_discount_not_strong_enough,True,ok,0.9397260273972602,True,False,False,True
ETH-29MAY26-2500-P,put,2318.89,2500.0,19.953109118113424,225.5120525,247.5905068668628,-22.078454366862843,-0.0891732669650986,0.4996,0.6375365835831345,-0.1379365835831345,0.0891732669650986,0.1379365835831345,0.2271098505482331,0.0668380462724937,-0.72084,0.00124,-2.2817,1.82245,762.0,neutral,do_not_invest,False,not_cheap,False,,0.0,True,False,False,True
ETH-29MAY26-2550-P,put,2318.85,2550.0,19.953103055104165,265.508325,284.3300361050044,-18.821711105004397,-0.0661967035310101,0.5029,0.6375365835831345,-0.1346365835831344,0.0661967035310101,0.1346365835831344,0.2008332871141446,0.1310043668122271,-0.77319,0.00111,-2.05831,1.63343,173.0,neutral,do_not_invest,False,not_cheap,False,,0.0,True,False,False,True
ETH-22MAY26-2500-P,put,2317.8,2500.0,12.953175942280092,214.3965,225.9066408956705,-11.510140895670531,-0.0509508744410316,0.4907,0.6375365835831345,-0.1468365835831344,0.0509508744410316,0.1468365835831344,0.197787458024166,0.227027027027027,-0.78003,0.00138,-2.44883,1.29276,18.0,neutral,do_not_invest,False,not_cheap,False,,0.0,True,False,False,True
ETH-29MAY26-2100-C,call,2318.86,2100.0,19.95316115371528,250.43688000000003,271.94901422379667,-21.512134223796636,-0.0791035565442187,0.521,0.6375365835831345,-0.1165365835831344,0.0791035565442187,0.1165365835831344,0.1956401401273531,0.0462962962962963,0.80913,0.00096,-1.9264,1.47542,8121.0,neutral,do_not_invest,False,not_cheap,False,,0.0,True,False,False,True
ETH-29MAY26-2050-C,call,2318.86,2050.0,19.95316724104167,292.17636000000005,309.5329107229743,-17.356550722974248,-0.0560733612540089,0.535,0.6375365835831345,-0.1025365835831344,0.0560733612540089,0.1025365835831344,0.1586099448371434,0.0396825396825397,0.85262,0.00079,-1.67489,1.24933,5811.0,neutral,do_not_invest,False,not_cheap,False,,0.0,True,False,False,True
ETH-22MAY26-2000-C,call,2317.78,2000.0,12.953234856655092,326.80698000000007,333.95767656020575,-7.150696560205688,-0.0214119843983181,0.5561,0.6375365835831345,-0.0814365835831344,0.0214119843983181,0.0814365835831344,0.1028485679814525,0.0992907801418439,0.92785,0.00057,-1.28809,0.60006,5.0,neutral,do_not_invest,False,not_cheap,False,,0.0,True,False,False,True
