instrument_name,base_currency,quote_currency,settlement_currency,option_type,strike,expiration_datetime,days_to_expiry,underlying_price,best_bid_price_eth,best_ask_price_eth,mark_price_eth,last_price_eth,best_bid_price_usd,best_ask_price_usd,mark_price_usd,last_price_usd,bid_iv,ask_iv,mark_iv,open_interest,state,delta,gamma,theta,vega,rho,timestamp
ETH-22MAY26-2000-C,ETH,ETH,ETH,call,2000.0,2026-05-22 08:00:00+00:00,12.953234856655092,2317.78,0.134,0.148,0.1406,0.146,310.58252000000005,343.03144000000003,325.87986800000004,338.39588000000003,,0.7709,0.5561,5.0,open,0.92785,0.00057,-1.28809,0.60006,0.64755,2026-05-09 09:07:18.174000+00:00
ETH-22MAY26-2000-P,ETH,ETH,ETH,put,2000.0,2026-05-22 08:00:00+00:00,12.953231393796296,2317.78,0.0032,0.0036,0.0035,0.0035,7.416896000000001,8.344008,8.11223,8.11223,0.544,0.5597,0.5561,1544.0,open,-0.07215,0.00057,-1.28809,0.60006,-0.06223,2026-05-09 09:07:18.174000+00:00
ETH-22MAY26-2100-C,ETH,ETH,ETH,call,2100.0,2026-05-22 08:00:00+00:00,12.953228670914353,2317.78,0.095,0.124,0.1012,,220.18910000000002,287.40472,234.55933600000003,,0.3098,0.9340999999999999,0.5109,0.0,open,0.85844,0.00101,-1.93097,0.97918,0.62285,2026-05-09 09:07:18.174000+00:00
ETH-22MAY26-2100-P,ETH,ETH,ETH,put,2100.0,2026-05-22 08:00:00+00:00,12.953225312048612,2317.78,0.007,0.0075,0.0073,0.008,16.22446,17.38335,16.919794000000003,18.542240000000003,0.5045000000000001,0.5164,0.5109,1352.0,open,-0.14156,0.00101,-1.93097,0.97918,-0.12242,2026-05-09 09:07:18.174000+00:00
ETH-22MAY26-2150-C,ETH,ETH,ETH,call,2150.0,2026-05-22 08:00:00+00:00,12.953222641909724,2317.82,0.077,0.1035,0.083,0.0715,178.47214000000002,239.89437,192.37906,165.72413,0.36479999999999996,0.8447,0.4929,150.0,open,0.80396,0.00129,-2.29785,1.20776,0.59307,2026-05-09 09:07:21.300000+00:00
ETH-22MAY26-2150-P,ETH,ETH,ETH,put,2150.0,2026-05-22 08:00:00+00:00,12.953219212638889,2317.82,0.01,0.011,0.0106,0.011,23.1782,25.49602,24.568892,25.49602,0.48200000000000004,0.5012,0.4929,1616.0,open,-0.19604,0.00129,-2.29785,1.20776,-0.16995,2026-05-09 09:07:21.195000+00:00
ETH-22MAY26-2200-C,ETH,ETH,ETH,call,2200.0,2026-05-22 08:00:00+00:00,12.953216487708334,2317.82,0.061,0.072,0.0664,0.067,141.38702,166.88304,153.90324800000002,155.29394000000002,0.3921,0.5705,0.4826,98.0,open,0.73215,0.00156,-2.67846,1.43796,0.54762,2026-05-09 09:07:21.624000+00:00
ETH-22MAY26-2200-P,ETH,ETH,ETH,put,2200.0,2026-05-22 08:00:00+00:00,12.953213172766205,2317.8,0.015,0.016,0.0156,0.016,34.767,37.0848,36.15768,37.0848,0.4732,0.4894,0.4826,1866.0,open,-0.26788,0.00156,-2.67858,1.43803,-0.23316,2026-05-09 09:07:22.202000+00:00
ETH-22MAY26-2250-C,ETH,ETH,ETH,call,2250.0,2026-05-22 08:00:00+00:00,12.953210517557869,2317.8,0.051,0.0535,0.0518,0.0475,118.2078,124.0023,120.06204000000001,110.09550000000002,0.46490000000000004,0.5005,0.4757,69.0,open,0.64657,0.00179,-2.98034,1.62301,0.48927,2026-05-09 09:07:22.202000+00:00
ETH-22MAY26-2250-P,ETH,ETH,ETH,put,2250.0,2026-05-22 08:00:00+00:00,12.95320705431713,2317.8,0.022,0.023,0.0225,0.0225,50.9916,53.309400000000004,52.1505,52.1505,0.4685,0.4828,0.4757,625.0,open,-0.35343,0.00179,-2.98034,1.62301,-0.30923,2026-05-09 09:07:22.202000+00:00
ETH-22MAY26-2300-C,ETH,ETH,ETH,call,2300.0,2026-05-22 08:00:00+00:00,12.953204327430555,2317.8,0.039,0.0405,0.0394,0.0395,90.39420000000001,93.8709,91.32132,91.55310000000001,0.46799999999999997,0.48810000000000003,0.4728,588.0,open,0.55215,0.00192,-3.15163,1.72703,0.42181,2026-05-09 09:07:22.202000+00:00
ETH-22MAY26-2300-P,ETH,ETH,ETH,put,2300.0,2026-05-22 08:00:00+00:00,12.953201032152778,2317.8,0.0315,0.032,0.0317,0.032,73.0107,74.1696,73.47426,74.1696,0.4704,0.4771,0.4728,1010.0,open,-0.44785,0.00192,-3.15163,1.72703,-0.39444,2026-05-09 09:07:22.202000+00:00
ETH-22MAY26-2350-C,ETH,ETH,ETH,call,2350.0,2026-05-22 08:00:00+00:00,12.953198313530091,2317.8,0.029,0.03,0.0295,0.03,67.21620000000001,69.534,68.3751,69.534,0.46950000000000003,0.4828,0.47609999999999997,2634.0,open,0.45661,0.00191,-3.18226,1.73162,0.35133,2026-05-09 09:07:22.202000+00:00
ETH-22MAY26-2350-P,ETH,ETH,ETH,put,2350.0,2026-05-22 08:00:00+00:00,12.953194657835647,2317.8,0.0425,0.044,0.0434,0.043,98.50650000000002,101.9832,100.59252000000001,99.6654,0.4642,0.4843,0.47609999999999997,669.0,open,-0.54339,0.00191,-3.18226,1.73162,-0.48266,2026-05-09 09:07:22.202000+00:00
ETH-22MAY26-2400-C,ETH,ETH,ETH,call,2400.0,2026-05-22 08:00:00+00:00,12.953191925833334,2317.8,0.0215,0.022,0.0216,0.0215,49.8327,50.9916,50.06448,49.8327,0.4778,0.48479999999999995,0.47979999999999995,1483.0,open,0.36677,0.0018,-3.04416,1.64387,0.28389,2026-05-09 09:07:22.202000+00:00
ETH-22MAY26-2400-P,ETH,ETH,ETH,put,2400.0,2026-05-22 08:00:00+00:00,12.953188173912036,2317.8,0.0545,0.06,0.0571,0.069,126.32010000000001,139.068,132.34638,159.92820000000003,0.4428,0.5203,0.47979999999999995,398.0,open,-0.63323,0.0018,-3.04416,1.64387,-0.56784,2026-05-09 09:07:22.202000+00:00
ETH-22MAY26-2450-C,ETH,ETH,ETH,call,2450.0,2026-05-22 08:00:00+00:00,12.953185451828704,2317.8,0.015,0.016,0.0155,0.016,34.767,37.0848,35.925900000000006,37.0848,0.4826,0.4904,0.4829,1619.0,open,0.28631,0.00161,-2.76946,1.48563,0.22274,2026-05-09 09:07:22.202000+00:00
ETH-22MAY26-2450-P,ETH,ETH,ETH,put,2450.0,2026-05-22 08:00:00+00:00,12.953182012407407,2317.8,0.066,0.079,0.0726,0.049,152.97480000000002,183.10620000000003,168.27228,113.57220000000001,0.3751,0.5804,0.4829,85.0,open,-0.71369,0.00161,-2.76946,1.48563,-0.64674,2026-05-09 09:07:22.202000+00:00
ETH-22MAY26-2500-C,ETH,ETH,ETH,call,2500.0,2026-05-22 08:00:00+00:00,12.953179289687501,2317.8,0.0105,0.0115,0.0112,0.0115,24.336900000000004,26.654700000000002,25.95936,26.654700000000002,0.4788,0.4968,0.4907,8223.0,open,0.21997,0.00138,-2.44883,1.29276,0.17176,2026-05-09 09:07:22.202000+00:00
ETH-22MAY26-2500-P,ETH,ETH,ETH,put,2500.0,2026-05-22 08:00:00+00:00,12.953175942280092,2317.8,0.082,0.103,0.0898,0.117,190.05960000000002,238.73340000000002,208.13844000000003,271.18260000000004,0.3272,0.7048000000000001,0.4907,18.0,open,-0.78003,0.00138,-2.44883,1.29276,-0.71547,2026-05-09 09:07:22.202000+00:00
ETH-22MAY26-2600-C,ETH,ETH,ETH,call,2600.0,2026-05-22 08:00:00+00:00,12.95317331835648,2317.8,0.005,0.006,0.0057,0.0055,11.589,13.9068,13.21146,12.7479,0.4901,0.5163,0.5083,3991.0,open,0.12465,0.00093,-1.76003,0.89709,0.09786,2026-05-09 09:07:22.202000+00:00
ETH-22MAY26-2600-P,ETH,ETH,ETH,put,2600.0,2026-05-22 08:00:00+00:00,12.953169862939815,2317.8,0.1175,0.185,0.1274,,272.3415,428.793,295.28772000000004,,,1.4347999999999999,0.5083,0.0,open,-0.87535,0.00093,-1.76003,0.89709,-0.82486,2026-05-09 09:07:22.202000+00:00
ETH-29MAY26-2050-C,ETH,ETH,ETH,call,2050.0,2026-05-29 08:00:00+00:00,19.95316724104167,2318.86,0.1235,0.1285,0.126,0.1505,286.37921,297.97351000000003,292.17636000000005,348.98843,0.4861,0.5795,0.535,5811.0,open,0.85262,0.00079,-1.67489,1.24933,0.92108,2026-05-09 09:07:22.202000+00:00
ETH-29MAY26-2050-P,ETH,ETH,ETH,put,2050.0,2026-05-29 08:00:00+00:00,19.95316382447917,2318.88,0.0095,0.0105,0.0101,0.0105,22.02936,24.348240000000004,23.420688000000002,24.348240000000004,0.5244,0.5429999999999999,0.535,4461.0,open,-0.14737,0.00079,-1.67478,1.24925,-0.19957,2026-05-09 09:07:22.202000+00:00
ETH-29MAY26-2100-C,ETH,ETH,ETH,call,2100.0,2026-05-29 08:00:00+00:00,19.95316115371528,2318.86,0.1055,0.1105,0.108,0.132,244.63973000000001,256.23403,250.43688,306.08952000000005,0.48119999999999996,0.5599000000000001,0.521,8121.0,open,0.80913,0.00096,-1.9264,1.47542,0.88882,2026-05-09 09:07:22.202000+00:00
ETH-29MAY26-2100-P,ETH,ETH,ETH,put,2100.0,2026-05-29 08:00:00+00:00,19.95315768605324,2318.86,0.013,0.014,0.0136,0.014,30.14518,32.464040000000004,31.536496,32.464040000000004,0.5118,0.5275,0.521,6763.0,open,-0.19087,0.00096,-1.92638,1.47541,-0.25918,2026-05-09 09:07:25.782000+00:00
ETH-29MAY26-2150-C,ETH,ETH,ETH,call,2150.0,2026-05-29 08:00:00+00:00,19.95315494650463,2318.86,0.0885,0.094,0.091,0.0945,205.21911,217.97284000000002,211.01626000000002,219.13227,0.47369999999999995,0.5487,0.508,13133.0,open,0.75679,0.00114,-2.16089,1.69769,0.84402,2026-05-09 09:07:22.202000+00:00
ETH-29MAY26-2150-P,ETH,ETH,ETH,put,2150.0,2026-05-29 08:00:00+00:00,19.953151611041665,2318.86,0.018,0.0185,0.0181,0.0185,41.73948,42.89891,41.971366,42.89891,0.5059,0.5127,0.508,7380.0,open,-0.24322,0.00114,-2.16092,1.69769,-0.33132,2026-05-09 09:07:26.327000+00:00
ETH-29MAY26-2200-C,ETH,ETH,ETH,call,2200.0,2026-05-29 08:00:00+00:00,19.953148942546296,2318.86,0.075,0.0775,0.0758,0.0685,173.9145,179.71165000000002,175.76958800000003,158.84191,0.49310000000000004,0.5235,0.5033,11722.0,open,0.69358,0.00129,-2.39986,1.90303,0.78309,2026-05-09 09:07:25.782000+00:00
