instrument_name,institutional_edge_score,candidate_explanation
ETH-17MAY26-2375-C,0.5833866194804784,ETH-17MAY26-2375-C: model_edge=-68.20%; vol_spread=-21.32%; surface_score=0.60; spread=20.41%
ETH-17MAY26-2350-C,0.6146869915539906,ETH-17MAY26-2350-C: model_edge=-62.56%; vol_spread=-22.50%; surface_score=0.69; spread=12.99%
ETH-17MAY26-2175-P,0.6017356668923921,ETH-17MAY26-2175-P: model_edge=-60.96%; vol_spread=-20.16%; surface_score=0.64; spread=9.84%
ETH-17MAY26-2325-C,0.5797050222809786,ETH-17MAY26-2325-C: model_edge=-56.71%; vol_spread=-23.31%; surface_score=0.70; spread=16.67%
ETH-17MAY26-2200-P,0.5950652955055941,ETH-17MAY26-2200-P: model_edge=-56.62%; vol_spread=-21.82%; surface_score=0.68; spread=10.53%
ETH-22MAY26-2500-C,0.5473779056828288,ETH-22MAY26-2500-C: model_edge=-60.18%; vol_spread=-15.37%; surface_score=0.52; spread=11.76%
ETH-29MAY26-2700-C,0.5360057862155132,ETH-29MAY26-2700-C: model_edge=-61.90%; vol_spread=-12.62%; surface_score=0.49; spread=12.24%
ETH-29MAY26-2650-C,0.5450305882418596,ETH-29MAY26-2650-C: model_edge=-60.68%; vol_spread=-13.77%; surface_score=0.53; spread=12.12%
ETH-17MAY26-2225-P,0.5665497587927089,ETH-17MAY26-2225-P: model_edge=-50.48%; vol_spread=-23.17%; surface_score=0.71; spread=13.33%
ETH-29MAY26-2600-C,0.5670860436193553,ETH-29MAY26-2600-C: model_edge=-58.46%; vol_spread=-14.67%; surface_score=0.59; spread=8.70%
ETH-22MAY26-2450-C,0.5617646966579843,ETH-22MAY26-2450-C: model_edge=-56.06%; vol_spread=-16.79%; surface_score=0.60; spread=9.52%
ETH-17MAY26-2300-C,0.5825492800334631,ETH-17MAY26-2300-C: model_edge=-48.76%; vol_spread=-23.80%; surface_score=0.76; spread=11.11%
ETH-29MAY26-2550-C,0.5247642993638543,ETH-29MAY26-2550-C: model_edge=-55.74%; vol_spread=-15.38%; surface_score=0.57; spread=15.38%
ETH-22MAY26-2400-C,0.5450463747133503,ETH-22MAY26-2400-C: model_edge=-50.99%; vol_spread=-17.97%; surface_score=0.65; spread=11.76%
ETH-29MAY26-2500-C,0.549069288743391,ETH-29MAY26-2500-C: model_edge=-52.36%; vol_spread=-16.13%; surface_score=0.65; spread=11.11%
ETH-17MAY26-2250-P,0.5986521453238416,ETH-17MAY26-2250-P: model_edge=-42.91%; vol_spread=-23.83%; surface_score=0.81; spread=4.44%
ETH-17MAY26-2275-C,0.5509251644642101,ETH-17MAY26-2275-C: model_edge=-39.86%; vol_spread=-24.08%; surface_score=0.79; spread=11.32%
ETH-26JUN26-3000-C,0.493843218516629,ETH-26JUN26-3000-C: model_edge=-52.97%; vol_spread=-10.84%; surface_score=0.43; spread=8.00%
ETH-29MAY26-2450-C,0.5533522610849364,ETH-29MAY26-2450-C: model_edge=-47.23%; vol_spread=-16.47%; surface_score=0.70; spread=8.00%
ETH-22MAY26-2100-P,0.4470350894245747,ETH-22MAY26-2100-P: model_edge=-48.25%; vol_spread=-14.29%; surface_score=0.46; spread=18.18%
ETH-22MAY26-2350-C,0.5473285415526824,ETH-22MAY26-2350-C: model_edge=-43.64%; vol_spread=-18.65%; surface_score=0.71; spread=7.41%
ETH-26JUN26-2900-C,0.5136417265623034,ETH-26JUN26-2900-C: model_edge=-50.70%; vol_spread=-11.58%; surface_score=0.50; spread=5.71%
ETH-22MAY26-2150-P,0.49788150229451933,ETH-22MAY26-2150-P: model_edge=-45.30%; vol_spread=-16.40%; surface_score=0.57; spread=11.11%
ETH-26JUN26-2800-C,0.5271650335658555,ETH-26JUN26-2800-C: model_edge=-47.95%; vol_spread=-12.24%; surface_score=0.57; spread=4.08%
ETH-17MAY26-2275-P,0.5558881112374967,ETH-17MAY26-2275-P: model_edge=-34.28%; vol_spread=-24.08%; surface_score=0.82; spread=6.06%
ETH-29MAY26-2400-C,0.5447917599724171,ETH-29MAY26-2400-C: model_edge=-41.35%; vol_spread=-16.54%; surface_score=0.73; spread=5.71%
ETH-22MAY26-2200-P,0.5161797995792268,ETH-22MAY26-2200-P: model_edge=-39.14%; vol_spread=-17.92%; surface_score=0.66; spread=6.67%
ETH-26JUN26-2700-C,0.5157393568990155,ETH-26JUN26-2700-C: model_edge=-43.96%; vol_spread=-12.76%; surface_score=0.62; spread=5.71%
ETH-17MAY26-2250-C,0.5274498664650208,ETH-17MAY26-2250-C: model_edge=-31.34%; vol_spread=-23.83%; surface_score=0.79; spread=7.79%
ETH-22MAY26-2300-C,0.5363810895471856,ETH-22MAY26-2300-C: model_edge=-34.77%; vol_spread=-18.86%; surface_score=0.77; spread=4.76%
ETH-26JUN26-2600-C,0.5114899915721114,ETH-26JUN26-2600-C: model_edge=-38.95%; vol_spread=-13.01%; surface_score=0.66; spread=4.08%
ETH-29MAY26-2350-C,0.5314463641880491,ETH-29MAY26-2350-C: model_edge=-35.30%; vol_spread=-16.55%; surface_score=0.76; spread=4.08%
ETH-29MAY26-2050-P,0.47357208308931353,ETH-29MAY26-2050-P: model_edge=-39.72%; vol_spread=-12.02%; surface_score=0.53; spread=5.41%
ETH-29MAY26-2100-P,0.4883558186185452,ETH-29MAY26-2100-P: model_edge=-37.65%; vol_spread=-13.36%; surface_score=0.58; spread=3.77%
ETH-22MAY26-2250-P,0.5298719071827679,ETH-22MAY26-2250-P: model_edge=-31.45%; vol_spread=-18.67%; surface_score=0.77; spread=2.15%
ETH-29MAY26-2000-P,0.4037542493799807,ETH-29MAY26-2000-P: model_edge=-39.77%; vol_spread=-10.24%; surface_score=0.44; spread=15.38%
ETH-17MAY26-2300-P,0.5072993751219791,ETH-17MAY26-2300-P: model_edge=-26.12%; vol_spread=-23.80%; surface_score=0.78; spread=6.45%
ETH-29MAY26-2150-P,0.48145966589727773,ETH-29MAY26-2150-P: model_edge=-35.00%; vol_spread=-14.62%; surface_score=0.61; spread=5.41%
ETH-26JUN26-2500-C,0.5063899967069421,ETH-26JUN26-2500-C: model_edge=-33.37%; vol_spread=-13.03%; surface_score=0.72; spread=2.90%
ETH-17MAY26-2225-C,0.4249313802190479,ETH-17MAY26-2225-C: model_edge=-23.05%; vol_spread=-23.17%; surface_score=0.69; spread=16.51%
ETH-29MAY26-2200-P,0.48488657843267235,ETH-29MAY26-2200-P: model_edge=-30.41%; vol_spread=-15.39%; surface_score=0.67; spread=3.85%
ETH-29MAY26-2300-C,0.49960865030311463,ETH-29MAY26-2300-C: model_edge=-29.18%; vol_spread=-16.30%; surface_score=0.73; spread=3.03%
ETH-22MAY26-2250-C,0.49119083561609733,ETH-22MAY26-2250-C: model_edge=-26.21%; vol_spread=-18.67%; surface_score=0.75; spread=4.80%
ETH-22MAY26-2300-P,0.48960610868943394,ETH-22MAY26-2300-P: model_edge=-23.81%; vol_spread=-18.86%; surface_score=0.78; spread=4.32%
ETH-17MAY26-2325-P,0.4037155644101388,ETH-17MAY26-2325-P: model_edge=-19.15%; vol_spread=-23.31%; surface_score=0.70; spread=17.89%
ETH-29MAY26-2250-P,0.4771100771157833,ETH-29MAY26-2250-P: model_edge=-25.83%; vol_spread=-15.91%; surface_score=0.70; spread=2.86%
