instrument_name,option_type,expiry,strike,days_to_expiry,underlying_price_usd,market_price_usd,implied_volatility,moneyness,abs_moneyness,term_bucket,same_expiry_iv_zscore,same_expiry_iv_percentile,surface_iv_zscore,surface_iv_percentile,surface_relative_value_score,bid_ask_spread_pct,delta,gamma,vega,theta,open_interest,volume
ETH-17MAY26-2275-C,call,2026-05-17,2275.0,3.049874001041667,2267.11,30.152563,0.4069,0.0034802016664388,0.0034802016664388,front_week,-0.961367696424127,0.03260869565217391,-1.4178228904161283,0.009375,0.7913527967689509,0.1132075471698113,0.47019,0.00472,0.82446,-5.49972,117.0,171.0
ETH-17MAY26-2275-P,put,2026-05-17,2275.0,3.049874001041667,2267.11,37.634026000000006,0.4069,0.0034802016664388,0.0034802016664388,front_week,-0.961367696424127,0.03260869565217391,-1.4178228904161283,0.009375,0.8214107890910941,0.0606060606060606,-0.52981,0.00472,0.82446,-5.49972,70.0,72.0
ETH-17MAY26-2250-C,call,2026-05-17,2250.0,3.049874001041667,2267.11,43.07509,0.4094,-0.0075470532969287,0.0075470532969287,front_week,-0.9364931778873015,0.07608695652173914,-1.3916258542952498,0.021875,0.7933020740795175,0.077922077922078,0.5875,0.00459,0.8068,-5.4152,407.0,487.0
ETH-17MAY26-2250-P,put,2026-05-17,2250.0,3.049874001041667,2267.11,25.618343,0.4094,-0.0075470532969287,0.0075470532969287,front_week,-0.9364931778873015,0.07608695652173914,-1.3916258542952498,0.021875,0.812432150352451,0.0444444444444444,-0.4125,0.00459,0.8068,-5.4152,2506.0,2717.0
ETH-17MAY26-2300-C,call,2026-05-17,2300.0,3.049874001041667,2267.11,20.177279,0.4097,0.0145074566298062,0.0145074566298062,front_week,-0.9335082356628822,0.11956521739130435,-1.388482209960744,0.034375,0.7574654699250808,0.111111111111111,0.35725,0.00439,0.77326,-5.19394,60.0,63.0
ETH-17MAY26-2300-P,put,2026-05-17,2300.0,3.049874001041667,2267.11,52.823663,0.4097,0.0145074566298062,0.0145074566298062,front_week,-0.9335082356628822,0.11956521739130435,-1.388482209960744,0.034375,0.7840911739701396,0.064516129032258,-0.64275,0.00439,0.77326,-5.19394,2503.0,2504.0
ETH-17MAY26-2225-C,call,2026-05-17,2225.0,3.049874001041667,2267.11,59.39828200000001,0.416,-0.0185743082602961,0.0185743082602961,front_week,-0.8708244489500822,0.20652173913043478,-1.3224656789361304,0.059375,0.689843651651881,0.165137614678899,0.69569,0.00406,0.72519,-4.94559,52.0,52.0
ETH-17MAY26-2225-P,put,2026-05-17,2225.0,3.049874001041667,2267.11,17.003325,0.416,-0.0185743082602961,0.0185743082602961,front_week,-0.8708244489500822,0.20652173913043478,-1.3224656789361304,0.059375,0.70801752670649,0.1333333333333333,-0.30431,0.00406,0.72519,-4.94559,35.0,37.0
ETH-17MAY26-2325-C,call,2026-05-17,2325.0,3.049874001041667,2267.11,13.149238,0.4146,0.0255347115931736,0.0255347115931736,front_week,-0.8847541793307041,0.16304347826086957,-1.337136019163822,0.046875,0.7040177466489509,0.1666666666666665,0.25905,0.00377,0.67095,-4.56075,32.0,32.0
ETH-17MAY26-2325-P,put,2026-05-17,2325.0,3.049874001041667,2267.11,70.733832,0.4146,0.0255347115931736,0.0255347115931736,front_week,-0.8847541793307041,0.16304347826086957,-1.337136019163822,0.046875,0.6970491055339683,0.1788617886178862,-0.74095,0.00377,0.67095,-4.56075,1.0,1.0
ETH-17MAY26-2200-C,call,2026-05-17,2200.0,3.049874001041667,2267.11,78.66871700000002,0.4295,-0.0296015632236636,0.0296015632236636,front_week,-0.7365020488512244,0.29347826086956524,-1.181001683883386,0.084375,0.6678510311131297,0.1258741258741258,0.78374,0.00329,0.60758,-4.27776,118.0,118.0
ETH-17MAY26-2200-P,put,2026-05-17,2200.0,3.049874001041667,2267.11,11.108839,0.4295,-0.0296015632236636,0.0296015632236636,front_week,-0.7365020488512244,0.29347826086956524,-1.181001683883386,0.084375,0.6796287271013519,0.1052631578947369,-0.21626,0.00329,0.60758,-4.27776,1074.0,1084.0
ETH-17MAY26-2350-C,call,2026-05-17,2350.0,3.049874001041667,2267.11,8.615018000000001,0.4227,0.036561966556541,0.036561966556541,front_week,-0.8041607392713894,0.25,-1.2522576221321755,0.071875,0.6853309057501082,0.12987012987013,0.18139,0.00301,0.54643,-3.78674,1235.0,1252.0
ETH-17MAY26-2350-P,put,2026-05-17,2350.0,3.049874001041667,2267.11,91.137822,0.4227,0.036561966556541,0.036561966556541,front_week,-0.8041607392713894,0.25,-1.2522576221321755,0.071875,0.6661012584881161,0.1635220125786163,-0.81861,0.00301,0.54643,-3.78674,0.0,0.0
ETH-17MAY26-2175-C,call,2026-05-17,2175.0,3.049874001041667,2267.11,99.75284,0.4461,-0.0406288181870311,0.0406288181870311,front_week,-0.571335245766703,0.3804347826086957,-1.0070533640407524,0.109375,0.623187769647632,0.1215469613259667,0.85021,0.00252,0.48276,-3.53079,0.0,0.0
ETH-17MAY26-2175-P,put,2026-05-17,2175.0,3.049874001041667,2267.11,7.254752000000001,0.4461,-0.0406288181870311,0.0406288181870311,front_week,-0.571335245766703,0.3804347826086957,-1.0070533640407524,0.109375,0.6364370871266387,0.0983606557377049,-0.14979,0.00252,0.48276,-3.53079,387.0,387.0
ETH-17MAY26-2375-C,call,2026-05-17,2375.0,3.049874001041667,2267.11,5.441064,0.4345,0.0475892215199085,0.0475892215199085,front_week,-0.6867530117775733,0.33695652173913043,-1.128607611641629,0.096875,0.5999799315890426,0.2040816326530611,0.12491,0.00228,0.42639,-3.03714,166.0,166.0
ETH-17MAY26-2375-P,put,2026-05-17,2375.0,3.049874001041667,2267.11,113.128789,0.4345,0.0475892215199085,0.0475892215199085,front_week,-0.6867530117775733,0.33695652173913043,-1.128607611641629,0.096875,0.5165980073907918,1.5305164319248823,-0.87509,0.00228,0.42639,-3.03714,0.0,0.0
ETH-17MAY26-2150-C,call,2026-05-17,2150.0,3.049874001041667,2267.11,122.19722900000002,0.4679999999999999,-0.0516560731503985,0.0516560731503985,front_week,-0.3534344633841124,0.4673913043478261,-0.7775673276218573,0.178125,0.5736522153936999,0.1176470588235296,0.89634,0.00186,0.37334,-2.86447,0.0,0.0
ETH-17MAY26-2150-P,put,2026-05-17,2150.0,3.049874001041667,2267.11,4.760931,0.4679999999999999,-0.0516560731503985,0.0516560731503985,front_week,-0.3534344633841124,0.4673913043478261,-0.7775673276218573,0.178125,0.5320355687350367,0.1904761904761903,-0.10366,0.00186,0.37334,-2.86447,109.0,109.0
