instrument_name,option_type,expiry,strike,days_to_expiry,underlying_price_usd,spot_price,moneyness,abs_moneyness,mark_price_usd,bid_price_usd,ask_price_usd,last_price_usd,market_price_usd,mark_iv,implied_volatility,delta,gamma,vega,theta,open_interest,volume,bid_ask_spread_pct,model_price_usd,theoretical_price,price_diff_pct,volatility_spread,classification,combined_score,historical_volatility_used,mci,edge_score,regime_score,vol_score,liquidity_score,greek_score,portfolio_score,mci_reject_reason,decision_reason,decision
ETH-17MAY26-2375-C,call,2026-05-17,2375.0,3.049874001041667,2267.11,2267.11,0.0475892215199085,0.0475892215199085,5.441064,4.987642000000001,6.121197,13.60266,5.441064,43.45,0.4345,0.12491,0.00228,0.42639,-3.03714,166.0,166.0,0.2040816326530611,17.10957765264351,17.10957765264351,-0.6819872406868365,-0.2132031170848439,cheap,0.8951903577716804,0.647703117084844,0.5943499921627456,1.0,0.55,0.22906984505292682,0.41690962099125395,0.03499580003472224,1.0,,accepted_dynamic_mci,accept
ETH-17MAY26-2350-C,call,2026-05-17,2350.0,3.049874001041667,2267.11,2267.11,0.036561966556541,0.036561966556541,8.615018000000001,8.161596,9.295151,5.894486,8.615018000000001,42.27,0.4227,0.18139,0.00301,0.54643,-3.78674,1235.0,1252.0,0.12987012987013,23.009099237976898,23.009099237976898,-0.6255821268404644,-0.2250031170848439,cheap,0.8505852439253083,0.647703117084844,0.6261549219268591,1.0,0.55,0.22906984505292682,0.6289424860853429,0.03499580003472224,1.0,,accepted_dynamic_mci,accept
ETH-17MAY26-2175-P,put,2026-05-17,2175.0,3.049874001041667,2267.11,2267.11,-0.0406288181870311,0.0406288181870311,7.254752000000001,6.574619,7.254752000000001,9.521862,7.254752000000001,44.61,0.4461,-0.14979,0.00252,0.48276,-3.53079,387.0,387.0,0.0983606557377049,18.58075638397156,18.58075638397156,-0.6095556149555778,-0.2016031170848439,cheap,0.8111587320404217,0.647703117084844,0.6396589822693269,1.0,0.55,0.22906984505292682,0.7189695550351288,0.03499580003472224,1.0,,accepted_dynamic_mci,accept
ETH-17MAY26-2325-C,call,2026-05-17,2325.0,3.049874001041667,2267.11,2267.11,0.0255347115931736,0.0255347115931736,13.149238,12.469105,14.736215,15.86977,13.149238,41.46,0.4146,0.25905,0.00377,0.67095,-4.56075,32.0,32.0,0.1666666666666665,30.37527253794599,30.37527253794599,-0.5671071598263537,-0.2331031170848439,cheap,0.8002102769111976,0.647703117084844,0.6103849775854863,1.0,0.55,0.22906984505292682,0.5238095238095243,0.03499580003472224,1.0,,accepted_dynamic_mci,accept
ETH-17MAY26-2200-P,put,2026-05-17,2200.0,3.049874001041667,2267.11,2267.11,-0.0296015632236636,0.0296015632236636,11.108839,10.201995,11.33555,14.962926,11.108839,42.95,0.4295,-0.21626,0.00329,0.60758,-4.27776,1074.0,1084.0,0.1052631578947369,25.61082299247505,25.61082299247505,-0.5662443567993114,-0.2182031170848439,cheap,0.7844474738841554,0.647703117084844,0.6367007670591703,1.0,0.55,0.22906984505292682,0.6992481203007517,0.03499580003472224,1.0,,accepted_dynamic_mci,accept
ETH-22MAY26-2500-C,call,2026-05-22,2500.0,8.049874001041667,2267.11,2267.11,0.1027254963367458,0.1027254963367458,7.481463000000001,7.254752000000001,8.161596,8.615018000000001,7.481463000000001,49.4,0.494,0.0986,0.00104,0.58511,-1.7952,9904.0,1949.0,0.1176470588235292,18.788746999483124,18.788746999483124,-0.6018114991805565,-0.1537031170848439,cheap,0.7555146162654005,0.647703117084844,0.6480600476134974,1.0,0.55,0.22906984505292682,0.6638655462184879,0.2016624667013889,1.0,,accepted_dynamic_mci,accept
ETH-29MAY26-2700-C,call,2026-05-29,2700.0,15.049874001041667,2267.11,2267.11,0.1909435360436855,0.1909435360436855,5.441064,5.214353,5.894486,5.894486,5.441064,52.15,0.5215,0.05588,0.00047,0.51894,-0.89908,18493.0,37.0,0.1224489795918366,14.281151129597731,14.281151129597731,-0.6190038218471494,-0.126203117084844,cheap,0.7452069389319934,0.647703117084844,0.6693354149032705,1.0,0.55,0.22906984505292682,0.6501457725947526,0.4349958000347222,1.0,,accepted_dynamic_mci,accept
ETH-29MAY26-2650-C,call,2026-05-29,2650.0,15.049874001041667,2267.11,2267.11,0.1688890261169506,0.1688890261169506,7.481463000000001,7.028041,7.934885,7.934885,7.481463000000001,51.0,0.51,0.07382,0.0006,0.6443,-1.09178,8486.0,123.0,0.1212121212121212,19.028807127111804,19.028807127111804,-0.6068348924856889,-0.1377031170848439,cheap,0.7445380095705328,0.647703117084844,0.6698654970660057,1.0,0.55,0.22906984505292682,0.6536796536796536,0.4349958000347222,1.0,,accepted_dynamic_mci,accept
ETH-17MAY26-2225-P,put,2026-05-17,2225.0,3.049874001041667,2267.11,2267.11,-0.0185743082602961,0.0185743082602961,17.003325,15.86977,18.13688,21.537545,17.003325,41.6,0.416,-0.30431,0.00406,0.72519,-4.94559,35.0,37.0,0.1333333333333333,34.33894401353621,34.33894401353621,-0.5048384425188674,-0.2317031170848439,cheap,0.7365415596037114,0.647703117084844,0.6246706918712005,1.0,0.55,0.22906984505292682,0.6190476190476191,0.03499580003472224,1.0,,accepted_dynamic_mci,accept
ETH-29MAY26-2600-C,call,2026-05-29,2600.0,15.049874001041667,2267.11,2267.11,0.1468345161902156,0.1468345161902156,10.428706,9.975284000000002,10.882128,8.841729,10.428706,50.1,0.501,0.09877,0.00075,0.80122,-1.33349,25833.0,46.0,0.0869565217391302,25.1036371377283,25.1036371377283,-0.5845739028657851,-0.1467031170848439,cheap,0.7312770199506291,0.647703117084844,0.6845464682687161,1.0,0.55,0.22906984505292682,0.7515527950310565,0.4349958000347222,1.0,,accepted_dynamic_mci,accept
