instrument_name,option_type,expiry,strike,days_to_expiry,underlying_price_usd,spot_price,moneyness,abs_moneyness,mark_price_usd,bid_price_usd,ask_price_usd,last_price_usd,market_price_usd,mark_iv,implied_volatility,delta,gamma,vega,theta,open_interest,volume,bid_ask_spread_pct,raw_reject_reason,model_price_usd,theoretical_price,price_diff_pct,volatility_spread,classification,combined_score,historical_volatility_used
ETH-17MAY26-2375-P,put,2026-05-17,2375.0,3.049874001041667,2267.11,2267.11,0.04758922151990852,0.04758922151990852,113.12878900000001,28.338875,213.10834,,113.12878900000001,43.45,0.43450000000000005,-0.87509,0.00228,0.42639,-3.03714,0.0,0.0,1.5305164319248825,spread_too_wide,,,,,,,
ETH-17MAY26-2150-C,call,2026-05-17,2150.0,3.049874001041667,2267.11,2267.11,-0.05165607315039855,0.05165607315039855,122.19722900000002,117.88972,132.62593500000003,,122.19722900000002,46.8,0.46799999999999997,0.89634,0.00186,0.37334,-2.86447,0.0,0.0,0.11764705882352963,classification_neutral,130.9156176621634,130.9156176621634,-0.06659548202004273,-0.179703117084844,neutral,0.24629859910488672,0.647703117084844
ETH-17MAY26-2150-P,put,2026-05-17,2150.0,3.049874001041667,2267.11,2267.11,-0.05165607315039855,0.05165607315039855,4.760931,4.3075090000000005,5.214353,7.934885,4.760931,46.8,0.46799999999999997,-0.10366,0.00186,0.37334,-2.86447,109.0,109.0,0.19047619047619038,market_price_below_minimum,,,,,,,
ETH-17MAY26-2400-C,call,2026-05-17,2400.0,3.049874001041667,2267.11,2267.11,0.05861647648327595,0.05861647648327595,3.6273760000000004,3.400665,4.080798,6.347908,3.6273760000000004,45.01,0.4501,0.08628,0.00169,0.32611,-2.4062,43.0,43.0,0.18181818181818174,market_price_below_minimum,,,,,,,
ETH-17MAY26-2400-P,put,2026-05-17,2400.0,3.049874001041667,2267.11,2267.11,0.05861647648327595,0.05861647648327595,136.253311,45.342200000000005,238.04655,,136.253311,45.01,0.4501,-0.91372,0.00169,0.32611,-2.4062,0.0,0.0,1.3599999999999997,spread_too_wide,,,,,,,
ETH-17MAY26-2125-C,call,2026-05-17,2125.0,3.049874001041667,2267.11,2267.11,-0.06268332811376609,0.06268332811376609,145.775173,141.694375,156.43059000000002,,145.775173,49.43,0.4943,0.92718,0.00135,0.28681,-2.32416,0.0,0.0,0.09885931558935371,classification_neutral,151.7509617370597,151.7509617370597,-0.039378918384807386,-0.15340311708484394,neutral,0.19278203546965134,0.647703117084844
ETH-17MAY26-2125-P,put,2026-05-17,2125.0,3.049874001041667,2267.11,2267.11,-0.06268332811376609,0.06268332811376609,3.400665,2.947243,3.6273760000000004,2.947243,3.400665,49.43,0.4943,-0.07283,0.00135,0.28684,-2.32438,52.0,52.0,0.2068965517241381,market_price_below_minimum,,,,,,,
ETH-17MAY26-2425-C,call,2026-05-17,2425.0,3.049874001041667,2267.11,2267.11,0.06964373144664338,0.06964373144664338,2.4938210000000005,2.26711,2.947243,7.254752000000001,2.4938210000000005,47.01,0.47009999999999996,0.06111,0.00124,0.25043,-1.92976,73.0,73.0,0.2608695652173912,market_price_below_minimum,,,,,,,
ETH-17MAY26-2425-P,put,2026-05-17,2425.0,3.049874001041667,2267.11,2267.11,0.06964373144664338,0.06964373144664338,160.057966,65.74619000000001,262.98476000000005,,160.057966,47.01,0.47009999999999996,-0.93889,0.00124,0.25043,-1.92976,0.0,0.0,1.2,spread_too_wide,,,,,,,
ETH-17MAY26-2100-C,call,2026-05-17,2100.0,3.049874001041667,2267.11,2267.11,-0.07371058307713352,0.07371058307713352,169.806539,165.49903,179.10169000000002,,169.806539,52.23,0.5223,0.94819,0.00098,0.21989,-1.88261,0.0,0.0,0.07894736842105271,classification_neutral,173.70451607830273,173.70451607830273,-0.02244027482017572,-0.12540311708484397,neutral,0.1478433919050197,0.647703117084844
ETH-17MAY26-2100-P,put,2026-05-17,2100.0,3.049874001041667,2267.11,2267.11,-0.07371058307713352,0.07371058307713352,2.4938210000000005,2.040399,2.4938210000000005,3.173954,2.4938210000000005,52.23,0.5223,-0.05181,0.00098,0.21989,-1.88261,1075.0,1088.0,0.20000000000000026,market_price_below_minimum,,,,,,,
ETH-17MAY26-2450-C,call,2026-05-17,2450.0,3.049874001041667,2267.11,2267.11,0.08067098641001103,0.08067098641001103,1.8136880000000002,1.586977,2.26711,2.040399,1.8136880000000002,49.53,0.4953,0.04542,0.00093,0.19792,-1.60717,44.0,44.0,0.35294117647058826,market_price_below_minimum,,,,,,,
ETH-17MAY26-2450-P,put,2026-05-17,2450.0,3.049874001041667,2267.11,2267.11,0.08067098641001103,0.08067098641001103,184.542754,88.41729000000001,289.056525,,184.542754,49.53,0.4953,-0.95458,0.00093,0.19792,-1.60717,0.0,0.0,1.0630630630630629,spread_too_wide,,,,,,,
ETH-17MAY26-2075-C,call,2026-05-17,2075.0,3.049874001041667,2267.11,2267.11,-0.08473783804050095,0.08473783804050095,194.064616,190.43724000000003,202.90634500000002,,194.064616,55.16,0.5516,0.96254,0.00071,0.16929,-1.53096,0.0,0.0,0.06340057636887599,classification_neutral,196.55504754520416,196.55504754520416,-0.012670402395193668,-0.09610311708484398,neutral,0.10877351948003765,0.647703117084844
ETH-17MAY26-2075-P,put,2026-05-17,2075.0,3.049874001041667,2267.11,2267.11,-0.08473783804050095,0.08473783804050095,1.8136880000000002,1.360266,1.8136880000000002,,1.8136880000000002,55.16,0.5516,-0.03746,0.00071,0.16929,-1.53096,0.0,0.0,0.2857142857142858,market_price_below_minimum,,,,,,,
ETH-17MAY26-2475-C,call,2026-05-17,2475.0,3.049874001041667,2267.11,2267.11,0.09169824137337845,0.09169824137337845,1.360266,1.133555,1.8136880000000002,3.400665,1.360266,52.04,0.5204,0.03433,0.00071,0.1576,-1.34455,150.0,150.0,0.46153846153846156,market_price_below_minimum,,,,,,,
