instrument_name,base_currency,quote_currency,settlement_currency,option_type,strike,expiration_datetime,days_to_expiry,underlying_price,best_bid_price_eth,best_ask_price_eth,mark_price_eth,last_price_eth,best_bid_price_usd,best_ask_price_usd,mark_price_usd,last_price_usd,bid_iv,ask_iv,mark_iv,open_interest,state,delta,gamma,theta,vega,rho,timestamp
ETH-22MAY26-2000-C,ETH,ETH,ETH,call,2000.0,2026-05-22 08:00:00+00:00,13.733464812569444,2288.23,0.125,0.1335,0.1309,0.146,286.02875,305.47870500000005,299.52930699999996,334.08158,,0.6232,0.5533,5.0,open,0.90458,0.00069,-1.51615,0.75264,0.66603,2026-05-08 14:23:41.645000+00:00
ETH-22MAY26-2000-P,ETH,ETH,ETH,put,2000.0,2026-05-22 08:00:00+00:00,13.733440801921295,2288.62,0.0049,0.0055,0.005,0.005,11.214238,12.587409999999998,11.4431,11.4431,0.55,0.568,0.5533,1539.0,open,-0.09517,0.00069,-1.51361,0.75132,-0.08626,2026-05-08 14:23:49.701000+00:00
ETH-22MAY26-2100-P,ETH,ETH,ETH,put,2100.0,2026-05-22 08:00:00+00:00,13.733206682175927,2288.81,0.0095,0.0105,0.0099,0.0105,21.743695,24.032505,22.659219,24.032505,0.4993,0.519,0.5073,1351.0,open,-0.1777,0.00116,-2.13421,1.15558,-0.16156,2026-05-08 14:24:09.849000+00:00
ETH-22MAY26-2150-C,ETH,ETH,ETH,call,2150.0,2026-05-22 08:00:00+00:00,13.73320371693287,2288.81,0.0705,0.077,0.0749,0.0715,161.36110499999998,176.23837,171.43186899999998,163.649915,0.4167,0.5266,0.4925,150.0,open,0.75885,0.00143,-2.4814,1.38376,0.589,2026-05-08 14:24:09.849000+00:00
ETH-22MAY26-2150-P,ETH,ETH,ETH,put,2150.0,2026-05-22 08:00:00+00:00,13.733201031006946,2288.81,0.014,0.0145,0.0143,0.014,32.04334,33.187745,32.729983,32.04334,0.4882,0.4965,0.4925,664.0,open,-0.24115,0.00143,-2.4814,1.38376,-0.21995,2026-05-08 14:24:09.849000+00:00
ETH-22MAY26-2200-C,ETH,ETH,ETH,call,2200.0,2026-05-22 08:00:00+00:00,13.733198203784724,2288.81,0.056,0.0595,0.0592,0.0665,128.17336,136.184195,135.497552,152.20586500000002,0.43560000000000004,0.4865,0.4828,65.0,open,0.68061,0.00167,-2.78847,1.5864,0.53511,2026-05-08 14:24:09.849000+00:00
ETH-22MAY26-2200-P,ETH,ETH,ETH,put,2200.0,2026-05-22 08:00:00+00:00,13.733195398946759,2288.89,0.02,0.0205,0.0204,0.02,45.7778,46.922245,46.693356,45.7778,0.47659999999999997,0.4838,0.4828,1428.0,open,-0.31925,0.00167,-2.78809,1.58618,-0.29254,2026-05-08 14:24:11.541000+00:00
ETH-22MAY26-2250-C,ETH,ETH,ETH,call,2250.0,2026-05-22 08:00:00+00:00,13.733192691898148,2288.89,0.045,0.046,0.0457,0.0475,103.00004999999999,105.28894,104.60227299999998,108.722275,0.46759999999999996,0.48090000000000005,0.4771,69.0,open,0.59152,0.00183,-2.99535,1.72443,0.47005,2026-05-08 14:24:10.978000+00:00
ETH-22MAY26-2250-P,ETH,ETH,ETH,put,2250.0,2026-05-22 08:00:00+00:00,13.733189924085648,2288.89,0.028,0.029,0.0287,0.0275,64.08892,66.37781,65.691143,62.944475,0.4675,0.4808,0.4771,523.0,open,-0.40848,0.00183,-2.99535,1.72443,-0.37653,2026-05-08 14:24:11.851000+00:00
ETH-22MAY26-2300-C,ETH,ETH,ETH,call,2300.0,2026-05-22 08:00:00+00:00,13.733186651331017,2288.89,0.034,0.035,0.0343,0.0315,77.82226,80.11115000000001,78.50892699999999,72.10003499999999,0.46909999999999996,0.48200000000000004,0.4728,628.0,open,0.49723,0.0019,-3.04876,1.77119,0.39869,2026-05-08 14:24:12.133000+00:00
ETH-22MAY26-2300-P,ETH,ETH,ETH,put,2300.0,2026-05-22 08:00:00+00:00,13.733183940069443,2289.08,0.039,0.04,0.0392,0.0415,89.27412,91.5632,89.73193599999999,94.99682,0.47159999999999996,0.48450000000000004,0.4728,982.0,open,-0.50241,0.0019,-3.04905,1.77135,-0.46639,2026-05-08 14:24:11.863000+00:00
ETH-22MAY26-2350-C,ETH,ETH,ETH,call,2350.0,2026-05-22 08:00:00+00:00,13.733181181817129,2289.07,0.0245,0.0255,0.0251,0.0225,56.082215000000005,58.371285,57.45565700000001,51.504075,0.46270000000000006,0.47600000000000003,0.4715,2062.0,open,0.40458,0.00185,-2.95341,1.72047,0.32679,2026-05-08 14:24:12.489000+00:00
ETH-22MAY26-2350-P,ETH,ETH,ETH,put,2350.0,2026-05-22 08:00:00+00:00,13.733176609456018,2289.08,0.0515,0.053,0.0519,0.057,117.88761999999998,121.32123999999999,118.803252,130.47756,0.4678,0.4877,0.4715,369.0,open,-0.5954,0.00185,-2.95346,1.72049,-0.5574,2026-05-08 14:24:11.863000+00:00
ETH-22MAY26-2400-C,ETH,ETH,ETH,call,2400.0,2026-05-22 08:00:00+00:00,13.733170886979169,2289.13,0.0175,0.0185,0.0181,0.019,40.05977500000001,42.348905,41.43325300000001,43.49347,0.4639,0.47840000000000005,0.473,1460.0,open,0.31929,0.0017,-2.73167,1.58642,0.25939,2026-05-08 14:24:13.467000+00:00
ETH-22MAY26-2400-P,ETH,ETH,ETH,put,2400.0,2026-05-22 08:00:00+00:00,13.733164656967592,2289.13,0.0655,0.068,0.0666,0.069,149.938015,155.66084,152.456058,157.94997,0.4576,0.49369999999999997,0.473,398.0,open,-0.68071,0.0017,-2.73167,1.58642,-0.64362,2026-05-08 14:24:12.870000+00:00
