line_number,text
11,Option-chain progress: 25/148 ( 16.9%) | failures=0 | ETA=24s
12,Option-chain progress: 50/148 ( 33.8%) | failures=0 | ETA=19s
13,Option-chain progress: 75/148 ( 50.7%) | failures=0 | ETA=14s
14,Option-chain progress: 100/148 ( 67.6%) | failures=0 | ETA=9s
16,Option-chain progress: 125/148 ( 84.5%) | failures=0 | ETA=4s
17,Option-chain progress: 148/148 (100.0%) | failures=0 | ETA=0s
18,"Finished option-chain refresh. Rows=148, failures=0"
98,Option-chain progress: 25/148 ( 16.9%) | failures=0 | ETA=27s
99,Option-chain progress: 50/148 ( 33.8%) | failures=0 | ETA=21s
100,Option-chain progress: 75/148 ( 50.7%) | failures=0 | ETA=16s
101,Option-chain progress: 100/148 ( 67.6%) | failures=0 | ETA=11s
103,Option-chain progress: 125/148 ( 84.5%) | failures=0 | ETA=5s
104,Option-chain progress: 148/148 (100.0%) | failures=0 | ETA=0s
105,"Finished option-chain refresh. Rows=148, failures=0"
185,Option-chain progress: 25/148 ( 16.9%) | failures=0 | ETA=24s
186,Option-chain progress: 50/148 ( 33.8%) | failures=0 | ETA=19s
187,Option-chain progress: 75/148 ( 50.7%) | failures=0 | ETA=14s
188,Option-chain progress: 100/148 ( 67.6%) | failures=0 | ETA=9s
190,Option-chain progress: 125/148 ( 84.5%) | failures=0 | ETA=5s
191,Option-chain progress: 148/148 (100.0%) | failures=0 | ETA=0s
192,"Finished option-chain refresh. Rows=148, failures=0"
272,Option-chain progress: 25/148 ( 16.9%) | failures=0 | ETA=26s
273,Option-chain progress: 50/148 ( 33.8%) | failures=0 | ETA=21s
274,Option-chain progress: 75/148 ( 50.7%) | failures=0 | ETA=16s
275,Option-chain progress: 100/148 ( 67.6%) | failures=0 | ETA=10s
277,Option-chain progress: 125/148 ( 84.5%) | failures=0 | ETA=5s
278,Option-chain progress: 148/148 (100.0%) | failures=0 | ETA=0s
279,"Finished option-chain refresh. Rows=148, failures=0"
359,Option-chain progress: 25/148 ( 16.9%) | failures=0 | ETA=24s
360,Option-chain progress: 50/148 ( 33.8%) | failures=0 | ETA=19s
361,Option-chain progress: 75/148 ( 50.7%) | failures=0 | ETA=14s
362,Option-chain progress: 100/148 ( 67.6%) | failures=0 | ETA=9s
364,Option-chain progress: 125/148 ( 84.5%) | failures=0 | ETA=4s
365,Option-chain progress: 148/148 (100.0%) | failures=0 | ETA=0s
366,"Finished option-chain refresh. Rows=148, failures=0"
446,Option-chain progress: 25/148 ( 16.9%) | failures=0 | ETA=24s
447,Option-chain progress: 50/148 ( 33.8%) | failures=0 | ETA=19s
448,Option-chain progress: 75/148 ( 50.7%) | failures=0 | ETA=14s
449,Option-chain progress: 100/148 ( 67.6%) | failures=0 | ETA=9s
451,Option-chain progress: 125/148 ( 84.5%) | failures=0 | ETA=4s
452,Option-chain progress: 148/148 (100.0%) | failures=0 | ETA=0s
453,"Finished option-chain refresh. Rows=148, failures=0"
533,Option-chain progress: 25/148 ( 16.9%) | failures=0 | ETA=28s
534,Option-chain progress: 50/148 ( 33.8%) | failures=0 | ETA=22s
535,Option-chain progress: 75/148 ( 50.7%) | failures=0 | ETA=16s
536,Option-chain progress: 100/148 ( 67.6%) | failures=0 | ETA=11s
538,Option-chain progress: 125/148 ( 84.5%) | failures=0 | ETA=5s
539,Option-chain progress: 148/148 (100.0%) | failures=0 | ETA=0s
540,"Finished option-chain refresh. Rows=148, failures=0"
620,Option-chain progress: 25/148 ( 16.9%) | failures=0 | ETA=24s
621,Option-chain progress: 50/148 ( 33.8%) | failures=0 | ETA=19s
622,Option-chain progress: 75/148 ( 50.7%) | failures=0 | ETA=14s
623,Option-chain progress: 100/148 ( 67.6%) | failures=0 | ETA=9s
