instrument_name,option_type,expiry,strike,days_to_expiry,underlying_price_usd,spot_price,moneyness,abs_moneyness,mark_price_usd,bid_price_usd,ask_price_usd,last_price_usd,market_price_usd,mark_iv,implied_volatility,delta,gamma,vega,theta,open_interest,volume,bid_ask_spread_pct,model_price_usd,theoretical_price,price_diff_pct,volatility_spread,classification,combined_score,historical_volatility_used,same_expiry_iv_percentile,surface_iv_zscore,surface_relative_value_score,term_bucket,institutional_edge_score,candidate_explanation,optimizer_risk_adjusted_score,optimizer_reject_reason
ETH-17MAY26-2350-C,call,2026-05-17,2350.0,3.049874001041667,2267.11,2267.11,0.036561966556541,0.036561966556541,8.615018000000001,8.161596,9.295151,5.894486,8.615018000000001,42.27,0.4227,0.18139,0.00301,0.54643,-3.78674,1235.0,1252.0,0.12987012987013,23.009099237976898,23.009099237976898,-0.6255821268404644,-0.2250031170848439,cheap,0.8505852439253083,0.647703117084844,0.25,-1.2522576221321755,0.6853309057501082,front_week,0.6146869915539906,ETH-17MAY26-2350-C: model_edge=-62.56%; vol_spread=-22.50%; surface_score=0.69; spread=12.99%,0.512040102792328,dte_below_optimizer_minimum;spread_above_dte_bucket_limit
ETH-17MAY26-2175-P,put,2026-05-17,2175.0,3.049874001041667,2267.11,2267.11,-0.0406288181870311,0.0406288181870311,7.254752000000001,6.574619,7.254752000000001,9.521862,7.254752000000001,44.61,0.4461,-0.14979,0.00252,0.48276,-3.53079,387.0,387.0,0.0983606557377049,18.58075638397156,18.58075638397156,-0.6095556149555778,-0.2016031170848439,cheap,0.8111587320404217,0.647703117084844,0.3804347826086957,-1.0070533640407524,0.6364370871266387,front_week,0.6017356668923921,ETH-17MAY26-2175-P: model_edge=-60.96%; vol_spread=-20.16%; surface_score=0.64; spread=9.84%,0.4871717376906411,dte_below_optimizer_minimum;spread_above_dte_bucket_limit
ETH-17MAY26-2250-P,put,2026-05-17,2250.0,3.049874001041667,2267.11,2267.11,-0.0075470532969287,0.0075470532969287,25.618343,24.93821,26.071765000000003,24.93821,25.618343,40.94,0.4094,-0.4125,0.00459,0.8068,-5.4152,2506.0,2717.0,0.0444444444444444,44.87461998967376,44.87461998967376,-0.4291128703508772,-0.2383031170848439,cheap,0.6674159874357213,0.647703117084844,0.0760869565217391,-1.3916258542952498,0.812432150352451,front_week,0.5986521453238416,ETH-17MAY26-2250-P: model_edge=-42.91%; vol_spread=-23.83%; surface_score=0.81; spread=4.44%,0.6179744108932139,dte_below_optimizer_minimum
ETH-17MAY26-2200-P,put,2026-05-17,2200.0,3.049874001041667,2267.11,2267.11,-0.0296015632236636,0.0296015632236636,11.108839,10.201995,11.33555,14.962926,11.108839,42.95,0.4295,-0.21626,0.00329,0.60758,-4.27776,1074.0,1084.0,0.1052631578947369,25.61082299247505,25.61082299247505,-0.5662443567993114,-0.2182031170848439,cheap,0.7844474738841554,0.647703117084844,0.2934782608695652,-1.181001683883386,0.6796287271013519,front_week,0.5950652955055941,ETH-17MAY26-2200-P: model_edge=-56.62%; vol_spread=-21.82%; surface_score=0.68; spread=10.53%,0.5111518277058468,dte_below_optimizer_minimum;spread_above_dte_bucket_limit
ETH-17MAY26-2375-C,call,2026-05-17,2375.0,3.049874001041667,2267.11,2267.11,0.0475892215199085,0.0475892215199085,5.441064,4.987642000000001,6.121197,13.60266,5.441064,43.45,0.4345,0.12491,0.00228,0.42639,-3.03714,166.0,166.0,0.2040816326530611,17.10957765264351,17.10957765264351,-0.6819872406868365,-0.2132031170848439,cheap,0.8951903577716804,0.647703117084844,0.3369565217391304,-1.128607611641629,0.5999799315890426,front_week,0.5833866194804784,ETH-17MAY26-2375-C: model_edge=-68.20%; vol_spread=-21.32%; surface_score=0.60; spread=20.41%,0.4350526989995556,dte_below_optimizer_minimum;spread_above_dte_bucket_limit
ETH-17MAY26-2300-C,call,2026-05-17,2300.0,3.049874001041667,2267.11,2267.11,0.0145074566298062,0.0145074566298062,20.177279,19.270435000000003,21.537545,18.13688,20.177279,40.97,0.4097,0.35725,0.00439,0.77326,-5.19394,60.0,63.0,0.111111111111111,39.3747437593895,39.3747437593895,-0.4875578334350829,-0.2380031170848439,cheap,0.725560950519927,0.647703117084844,0.1195652173913043,-1.388482209960744,0.7574654699250808,front_week,0.5825492800334631,ETH-17MAY26-2300-C: model_edge=-48.76%; vol_spread=-23.80%; surface_score=0.76; spread=11.11%,0.4249395281108518,dte_below_optimizer_minimum;spread_above_dte_bucket_limit;open_interest_below_minimum
ETH-17MAY26-2325-C,call,2026-05-17,2325.0,3.049874001041667,2267.11,2267.11,0.0255347115931736,0.0255347115931736,13.149238,12.469105,14.736215,15.86977,13.149238,41.46,0.4146,0.25905,0.00377,0.67095,-4.56075,32.0,32.0,0.1666666666666665,30.37527253794599,30.37527253794599,-0.5671071598263537,-0.2331031170848439,cheap,0.8002102769111976,0.647703117084844,0.1630434782608695,-1.337136019163822,0.7040177466489509,front_week,0.5797050222809786,ETH-17MAY26-2325-C: model_edge=-56.71%; vol_spread=-23.31%; surface_score=0.70; spread=16.67%,0.38659457004649056,dte_below_optimizer_minimum;spread_above_dte_bucket_limit;open_interest_below_minimum
ETH-29MAY26-2600-C,call,2026-05-29,2600.0,15.049874001041667,2267.11,2267.11,0.1468345161902156,0.1468345161902156,10.428706,9.975284000000002,10.882128,8.841729,10.428706,50.1,0.501,0.09877,0.00075,0.80122,-1.33349,25833.0,46.0,0.0869565217391302,25.1036371377283,25.1036371377283,-0.5845739028657851,-0.1467031170848439,cheap,0.7312770199506291,0.647703117084844,0.3365384615384615,-0.4317664508262596,0.5891357317985617,front_month,0.5670860436193553,ETH-29MAY26-2600-C: model_edge=-58.46%; vol_spread=-14.67%; surface_score=0.59; spread=8.70%,0.4854163439421313,abs_moneyness_too_high;spread_above_dte_bucket_limit
ETH-17MAY26-2225-P,put,2026-05-17,2225.0,3.049874001041667,2267.11,2267.11,-0.0185743082602961,0.0185743082602961,17.003325,15.86977,18.13688,21.537545,17.003325,41.6,0.416,-0.30431,0.00406,0.72519,-4.94559,35.0,37.0,0.1333333333333333,34.33894401353621,34.33894401353621,-0.5048384425188674,-0.2317031170848439,cheap,0.7365415596037114,0.647703117084844,0.2065217391304347,-1.3224656789361304,0.70801752670649,front_week,0.5665497587927089,ETH-17MAY26-2225-P: model_edge=-50.48%; vol_spread=-23.17%; surface_score=0.71; spread=13.33%,0.39227286798406014,dte_below_optimizer_minimum;spread_above_dte_bucket_limit;open_interest_below_minimum
ETH-22MAY26-2450-C,call,2026-05-22,2450.0,8.049874001041667,2267.11,2267.11,0.080670986410011,0.080670986410011,12.015683,11.33555,12.469105,11.33555,12.015683,47.98,0.4797999999999999,0.14773,0.00143,0.77744,-2.31692,2277.0,103.0,0.0952380952380951,27.34530993372033,27.34530993372033,-0.5605943750821014,-0.167903117084844,cheap,0.7284974921669454,0.647703117084844,0.3833333333333333,-0.6539173171313107,0.5997704771047908,front_month,0.5617646966579843,ETH-22MAY26-2450-C: model_edge=-56.06%; vol_spread=-16.79%; surface_score=0.60; spread=9.52%,0.4661762766809428,spread_above_dte_bucket_limit
