instrument_name,option_type,expiry,strike,days_to_expiry,market_price_usd,model_price_usd,price_diff_pct,volatility_spread,classification,mci,edge_score,regime_score,vol_score,liquidity_score,greek_score,bid_ask_spread_pct,delta,gamma,vega,theta,decision_reason
ETH-29MAY26-2400-C,call,29MAY26,2400.0,18.65648822369213,83.35151499999999,113.908256503424,-0.2682574770381593,-0.1341014023408799,cheap,0.7051593582506236,0.7585186744483259,0.55,0.4244536002753707,0.9483568075117376,0.7838544845670742,0.0281690140845069,0.44594,0.00148,2.09821,-2.82969,accepted_dynamic_mci
ETH-22MAY26-2400-C,call,22MAY26,2400.0,11.656568949305557,58.67025,84.49273670276398,-0.3056178283537508,-0.1495014023408799,cheap,0.6996002099790017,0.7724358575469173,0.55,0.4244536002753707,0.926666666666667,0.7260052553719816,0.0399999999999999,0.41545,0.00191,1.63538,-3.42165,accepted_dynamic_mci
ETH-22MAY26-2350-C,call,22MAY26,2350.0,11.656576691203703,80.37995500000002,106.50605767766024,-0.2453015654445746,-0.1506014023408799,cheap,0.6953384787105276,0.7596510776806991,0.55,0.4244536002753707,0.9197080291970804,0.7257878485571667,0.0437956204379562,0.51121,0.00195,1.67252,-3.49124,accepted_dynamic_mci
ETH-29MAY26-2500-C,call,29MAY26,2500.0,18.65647262920139,50.480065,77.71574083761959,-0.3504525022096388,-0.1333014023408799,cheap,0.6944982385672981,0.7356789583221109,0.55,0.4244536002753707,0.9147286821705428,0.7847847660611482,0.0465116279069767,0.3107,0.00132,1.87453,-2.53196,accepted_dynamic_mci
ETH-29MAY26-2350-C,call,29MAY26,2350.0,18.656496305601852,105.65685,136.13536328549094,-0.2238838796174813,-0.1332014023408799,cheap,0.6937517003527275,0.7063811334461169,0.55,0.4244536002753707,0.9592592592592596,0.7837680804723519,0.0222222222222222,0.51964,0.00149,2.11512,-2.85736,accepted_dynamic_mci
ETH-29MAY26-2450-C,call,29MAY26,2450.0,18.656480296400463,65.1550575,94.49260115593756,-0.3104745059089116,-0.1340014023408799,cheap,0.6904815750927137,0.7281394611505209,0.55,0.4244536002753707,0.900900900900901,0.7842085461487407,0.054054054054054,0.37559,0.00142,2.01385,-2.71637,accepted_dynamic_mci
ETH-15MAY26-2350-C,call,15MAY26,2350.0,4.656667905706018,46.33903000000001,66.14783689066667,-0.2994626554970786,-0.1803014023408799,cheap,0.6838862571689109,0.7859349292768749,0.55,0.4244536002753707,0.840420771448664,0.6644868907731852,0.0759493670886076,0.49805,0.00329,1.05728,-5.18778,accepted_dynamic_mci
ETH-22MAY26-2450-C,call,22MAY26,2450.0,11.656561138738429,42.24258,66.03592407588587,-0.3603090955241801,-0.1472014023408799,cheap,0.6833606972490665,0.7501477093987691,0.55,0.4244536002753707,0.8550513703703706,0.7267534428874445,0.0555555555555555,0.32725,0.00176,1.51367,-3.18221,accepted_dynamic_mci
ETH-29MAY26-2550-C,call,29MAY26,2550.0,18.656464858379632,38.740515,63.39167347924797,-0.3888706059687448,-0.1316014023408799,cheap,0.6764358361128265,0.7161754535065131,0.55,0.4244536002753707,0.8263361944444443,0.7855082351445741,0.0606060606060607,0.253,0.00119,1.69748,-2.30043,accepted_dynamic_mci
ETH-14MAY26-2325-C,call,14MAY26,2325.0,3.6567737200115737,53.37241,71.04367728422835,-0.2487380715602591,-0.1866014023408799,cheap,0.6724610902635813,0.806183204723077,0.55,0.4244536002753707,0.7367651769931659,0.6550979247876296,0.0659340659340659,0.58794,0.00368,0.91397,-5.63252,accepted_dynamic_mci
