spot_shock,iv_shock,days_forward,portfolio_scenario_pnl
-0.2,-0.1,0,99.57873249324908
-0.2,-0.1,1,99.6712603103561
-0.2,-0.1,3,99.90125865090494
-0.2,-0.1,7,100.4826402226985
-0.2,0.0,0,101.23622592929505
-0.2,0.0,1,100.97930760723438
-0.2,0.0,3,100.64078261415642
-0.2,0.0,7,100.60455067885249
-0.2,0.1,0,105.992624523166
-0.2,0.1,1,104.98607896754085
-0.2,0.1,3,103.2936024417838
-0.2,0.1,7,101.3269560713384
-0.2,0.2,0,114.75641899252467
-0.2,0.2,1,112.66507855959715
-0.2,0.2,3,108.88925423192714
-0.2,0.2,7,103.40383215086581
-0.1,-0.1,0,-33.47241116971077
-0.1,-0.1,1,-35.178739448764816
-0.1,-0.1,3,-38.37142502680988
-0.1,-0.1,7,-43.51757435415853
-0.1,0.0,0,-14.057243156638009
-0.1,0.0,1,-17.32236894569634
-0.1,0.0,3,-23.714436176474585
-0.1,0.0,7,-35.44464649777769
-0.1,0.1,0,11.182935754027113
-0.1,0.1,1,6.296059373437508
-0.1,0.1,3,-3.4939148417800823
-0.1,0.1,7,-22.68229828386469
-0.1,0.2,0,40.45789874228364
-0.1,0.2,1,33.96480141579857
-0.1,0.2,3,20.7791679526645
-0.1,0.2,7,-6.091936168977099
-0.05,-0.1,0,-65.05847364109151
-0.05,-0.1,1,-68.94254484974606
-0.05,-0.1,3,-76.85851374458596
-0.05,-0.1,7,-93.17769359108209
-0.05,0.0,0,-30.08850374071674
-0.05,0.0,1,-35.56540898633705
-0.05,0.0,3,-46.86095575759786
-0.05,0.0,7,-70.94997458016744
-0.05,0.1,0,7.486910346269752
-0.05,0.1,1,0.47714470323395375
-0.05,0.1,3,-14.072763634780536
-0.05,0.1,7,-45.678465631877025
-0.05,0.2,0,46.60042568265448
-0.05,0.2,1,38.10212140837048
-0.05,0.2,3,20.39404576382841
-0.05,0.2,7,-18.502450430270436
0.0,-0.1,0,-42.86134430899462
0.0,-0.1,1,-48.19320242027461
0.0,-0.1,3,-59.38883362239792
0.0,-0.1,7,-84.55342302341654
0.0,0.0,0,1.0480904404065257
0.0,0.0,1,-5.697498143967934
0.0,0.0,3,-19.87414366940495
0.0,0.0,7,-51.81406412674556
0.0,0.1,0,45.0789646173846
0.0,0.1,1,36.92764991438035
0.0,0.1,3,19.787576433425187
0.0,0.1,7,-18.88243703455644
0.0,0.2,0,89.16267883245578
0.0,0.2,1,79.6115433384702
0.0,0.2,3,59.52063015168876
0.0,0.2,7,14.150988900298302
0.05,-0.1,0,43.147674014012914
0.05,-0.1,1,38.263235479358
0.05,-0.1,3,28.143173069510482
0.05,-0.1,7,6.263853955788235
0.05,0.0,0,83.44450721694739
0.05,0.0,1,77.01006291526821
0.05,0.0,3,63.60273407461406
0.05,0.0,7,34.14410183003778
0.05,0.1,0,125.40688993824632
0.05,0.1,1,117.45842441501583
0.05,0.1,3,100.84388580255737
0.05,0.1,7,64.0069643231682
0.05,0.2,0,168.3212273617774
0.05,0.2,1,158.88346507757063
0.05,0.2,3,139.11723606635513
0.05,0.2,7,95.0476533686587
0.1,-0.1,0,181.61586604578554
0.1,-0.1,1,178.37752650986408
0.1,-0.1,3,171.97353047777918
0.1,-0.1,7,159.8447879337101
0.1,0.0,0,209.86572283220696
0.1,0.0,1,204.8982565830252
0.1,0.0,3,194.8626383168464
0.1,0.0,7,174.69465401045824
0.1,0.1,0,243.33445227110224
0.1,0.1,1,236.6501674659017
0.1,0.1,3,222.9779828094932
0.1,0.1,7,194.5180002678065
0.1,0.2,0,280.1513807545919
0.1,0.2,1,271.7898247774067
0.1,0.2,3,254.5553791134608
0.1,0.2,7,217.88287914779895
0.2,-0.1,0,535.0471483432156
0.2,-0.1,1,534.1654057664377
0.2,-0.1,3,532.5730142513179
0.2,-0.1,7,530.052893836342
0.2,0.0,0,542.2963602506627
0.2,0.0,1,540.3934548071762
0.2,0.0,3,536.9019620835879
0.2,0.0,7,531.4417160040888
0.2,0.1,0,556.0465423630885
0.2,0.1,1,552.6794035511443
0.2,0.1,3,546.295427962936
0.2,0.1,7,535.531772848063
0.2,0.2,0,575.8724218827233
0.2,0.2,1,570.8078696714028
0.2,0.2,3,560.9596891006306
0.2,0.2,7,543.2014773001827
